Neighborhood;Income
Nuevo Paris;60526 y33333
Nuevo Paris;32193
Nuevo Paris;0
Malvin Norte;19000
Malvin Norte;0
Aires Puros;55000
La Teja;9300
La Teja;24262
La Teja;0
Aguada;35000
Aguada;32197
Aguada;42197
Casabo y Pajas Blancas;17189
Casabo y Pajas Blancas;5300
Casabo y Pajas Blancas;2508
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
La Comercial;17288
La Comercial;32288
Pocitos;210
Pocitos;20214
Pocitos;55214
Pocitos;17214
Pocitos;0
Pocitos;0
Pocitos;0
Punta Gorda;51386 y66667
Punta Gorda;51386 y66667
Punta Gorda;41220
Punta Gorda;24720
Punta Gorda;24720
Carrasco;0
Carrasco;0
Casabo y Pajas Blancas;24055
Casabo y Pajas Blancas;22180
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
Brazo Oriental;24000
Brazo Oriental;15000
Buceo;2288
Buceo;0
Buceo;0
Buceo;0
Union;53000
Pocitos;42000
Pocitos;25000
Centro;75000
Centro;11000
Villa Munoz y Retiro;34497
Villa Munoz y Retiro;10000
Villa Munoz y Retiro;0
Carrasco;57082
Carrasco;25000
Pocitos;47193
Pocitos;33859 y66667
Villa Garcia y Manga Rur.;9640
Villa Garcia y Manga Rur.;2000
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Pocitos;176954 y6667
Las Canteras;0
Las Canteras;19000
Maronas y Parque Guarani;15000
Malvin Norte;35071
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
Malvin Norte;0
La Figurita;0
La Figurita;52118
Larranaga;32118
Larranaga;15000
Punta Carretas;143621 y3333
Punta Carretas;30538
Punta Carretas;0
Punta Carretas;0
Sayago;24588
Manga y Toledo Chico;50000
Manga y Toledo Chico;17000
Union;31697
Union;39197
Penarol y Lavalleja;46100
Penarol y Lavalleja;8000
Penarol y Lavalleja;0
Penarol y Lavalleja;2189
Penarol y Lavalleja;7000
Casavalle;26862
Casavalle;1400
Casavalle;0
Belvedere;30000
Belvedere;0
Belvedere;23201
Villa Garcia y Manga Rur.;24288
Villa Garcia y Manga Rur.;0
Larranaga;34893
Larranaga;0
Larranaga;0
Larranaga;0
Nuevo Paris;23000
Nuevo Paris;26193
Nuevo Paris;0
Nuevo Paris;0
Punta Gorda;62568
Punta Gorda;0
Punta Gorda;0
Reducto;93703
Manga;50200
Manga;0
Manga;22193
Cordon;29288
Cordon;2288
Prado y Nueva Savona;15000
Prado y Nueva Savona;10000
Malvin;62000
Malvin;115000
Malvin;47220
Union;10800
Union;10500
Union;15000
Union;17000
Buceo;32262
Buceo;26262
Buceo;30000
Buceo;0
Buceo;0
Colon Centro y Noroeste;16189
Colon Centro y Noroeste;11500
La Blanqueada;26214
La Blanqueada;87000
La Blanqueada;0
Pque. Batlle y V. Dolores;164547 y3333
Pque. Batlle y V. Dolores;72022
Pque. Batlle y V. Dolores;0
Pque. Batlle y V. Dolores;0
Carrasco;33538
Carrasco;203121 y3333
Carrasco;0
Carrasco;0
Carrasco;0
Cordon;55118
Cordon;2118
Cordon;0
Centro;52189
Centro;0
Pque. Batlle y V. Dolores;45000
Pque. Batlle y V. Dolores;168136 y6667
Pque. Batlle y V. Dolores;47220
Pque. Batlle y V. Dolores;0
Pque. Batlle y V. Dolores;0
Ciudad Vieja;144406 y1667
Penarol y Lavalleja;25311
Penarol y Lavalleja;15390
Penarol y Lavalleja;31411
Penarol y Lavalleja;0
Belvedere;28180
Pocitos;50000
Pocitos;50000
Mercado Modelo y Bolivar;25500
Punta Gorda;593720
Punta Gorda;96170
Punta Gorda;0
Punta Gorda;0
Larranaga;29271
Larranaga;47271
Larranaga;0
Sayago;32000
Las Canteras;0
Las Canteras;20000
Las Canteras;0
Las Canteras;0
Cerro;21000
Cerro;28214
Cerro;0
Sayago;11000
Sayago;28000
Sayago;35300
Jardines del Hipodromo;15000
Cerrito;60000
Sayago;5000
Sayago;32007
Sayago;0
Sayago;0
La Figurita;22288
La Figurita;42288
La Figurita;0
La Figurita;0
Las Canteras;82500
Villa Munoz y Retiro;58193
Villa Munoz y Retiro;10900
Villa Munoz y Retiro;9000
Villa Munoz y Retiro;18495
Villa Munoz y Retiro;0
Villa Munoz y Retiro;0
Buceo;12000
Buceo;12000
Larranaga;39811
Larranaga;25271
Larranaga;0
Larranaga;14000
Larranaga;11000
Carrasco;770621 y3333
Carrasco;0
Buceo;59000
Tres Cruces;43389
Tres Cruces;8000
Tres Cruces;0
Larranaga;70854
Larranaga;27271
Larranaga;0
Larranaga;0
Capurro y Bella Vista;21400
Capurro y Bella Vista;92197
Pta. Rieles y Bella Italia;63500
Pta. Rieles y Bella Italia;15420
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Punta Carretas;165113 y6667
Punta Carretas;0
Larranaga;39000
La Paloma y Tomkinson;17500
La Paloma y Tomkinson;6000
La Paloma y Tomkinson;0
La Paloma y Tomkinson;0
Malvin;20000
Malvin;62197
Malvin;0
Cerrito;24916
Cerrito;28088
Cerrito;0
Cerrito;2000
Cerrito;0
Cerrito;0
Flor de Maronas;23271
Flor de Maronas;3871
Flor de Maronas;21000
Flor de Maronas;0
Tres Cruces;17180
Tres Cruces;0
Las Canteras;44314
Las Canteras;54105 y66667
Las Canteras;0
Malvin Norte;16000
Malvin Norte;33189
Malvin Norte;0
Punta Carretas;104662
Punta Carretas;108595 y3333
Punta Carretas;0
Punta Carretas;0
Castro y P. Castellanos;34788
Castro y P. Castellanos;54788
Villa Garcia y Manga Rur.;7000
Villa Garcia y Manga Rur.;2000
Flor de Maronas;0
Flor de Maronas;32262
Flor de Maronas;0
Flor de Maronas;0
Union;65371 y33333
Union;0
Pocitos;109763 y3333
Pocitos;53180
Ciudad Vieja;70000
Ciudad Vieja;11000
Castro y P. Castellanos;23494
Castro y P. Castellanos;38434
Penarol y Lavalleja;29500
Penarol y Lavalleja;12000
Ituzaingo;11000
Pocitos;37000
Villa Espanola;43618
Villa Espanola;2118
Villa Espanola;14568
Villa Espanola;39118
Villa Espanola;41118
Malvin;0
Malvin;85000
Aires Puros;21000
Aires Puros;42118
Lezica y Melilla;62288
Lezica y Melilla;39288
Lezica y Melilla;0
Malvin;3000
Malvin;5000
Colon Centro y Noroeste;12000
Punta Carretas;148304 y0833
Centro;0
Centro;60000
Manga;62180
Manga;31180
Manga;0
Manga;0
Cordon;0
Cordon;52271
Cordon;0
Carrasco;126038
Carrasco;68079 y66667
Carrasco;37288
Carrasco;0
Penarol y Lavalleja;26271
Centro;25762
Centro;26762
Cerro;20271
Cerro;27271
Cerro;0
Jardines del Hipodromo;0
Jardines del Hipodromo;28000
Jardines del Hipodromo;12571
Jardines del Hipodromo;0
Parque Rodo;32118
Sayago;75288
Sayago;0
Pocitos;54000
Penarol y Lavalleja;47813
Penarol y Lavalleja;0
Penarol y Lavalleja;0
Castro y P. Castellanos;19000
Castro y P. Castellanos;26189
Tres Ombues y Victoria;27000
Mercado Modelo y Bolivar;13500
Castro y P. Castellanos;46118
Castro y P. Castellanos;12118
Castro y P. Castellanos;0
Pocitos;44197
La Paloma y Tomkinson;21817
La Paloma y Tomkinson;17193
La Paloma y Tomkinson;0
Barrio Sur;74271
Barrio Sur;0
Union;65000
Union;129166 y6667
Union;0
Union;0
Larranaga;57678 y66667
Larranaga;47786
La Comercial;15288
La Comercial;55788
Castro y P. Castellanos;26400
Castro y P. Castellanos;46000
Carrasco;202118
Carrasco;0
Carrasco;2118
Capurro y Bella Vista;74000
Manga;79118
Manga;0
Manga;0
Manga;0
Pocitos;72197
Mercado Modelo y Bolivar;65288
Mercado Modelo y Bolivar;0
Mercado Modelo y Bolivar;0
Buceo;47220
Buceo;0
Buceo;0
Buceo;0
Sayago;20193
Sayago;18000
Carrasco;30000
Carrasco;98000
Carrasco;152271
Carrasco;178937 y6667
Carrasco;0
Carrasco;0
Carrasco;0
Cerro;24000
Cerro;0
Villa Garcia y Manga Rur.;13000
Villa Garcia y Manga Rur.;14897
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Union;11000
Manga y Toledo Chico;10000
Manga y Toledo Chico;0
Manga y Toledo Chico;13000
Punta Carretas;42000
Punta Carretas;16000
Punta Carretas;22271
Aires Puros;61529 y08333
Aires Puros;25193
Aires Puros;32200
Aires Puros;0
Aires Puros;29547
Paso de las Duranas;19000
Jardines del Hipodromo;32000
Jardines del Hipodromo;12500
Penarol y Lavalleja;32000
Penarol y Lavalleja;11800
Ituzaingo;8000
Ituzaingo;49118
Ituzaingo;0
Paso de las Duranas;33000
Paso de las Duranas;1300
Paso de las Duranas;32189
Paso de las Duranas;22789
Paso de las Duranas;0
Paso de las Duranas;0
Pocitos;220000
Pocitos;0
Pocitos;27197
Pocitos;18697
Pocitos;42197
Maronas y Parque Guarani;17960
Maronas y Parque Guarani;0
Maronas y Parque Guarani;10800
Jardines del Hipodromo;13171
Jardines del Hipodromo;16271
Jardines del Hipodromo;0
Jardines del Hipodromo;0
Pta. Rieles y Bella Italia;52262
Pta. Rieles y Bella Italia;0
Pocitos;47288
Pocitos;16288
Villa Espanola;0
Villa Espanola;21697
Villa Espanola;19197
Villa Espanola;0
Villa Espanola;0
Villa Espanola;0
Villa Espanola;0
Lezica y Melilla;8271
Lezica y Melilla;32271
Prado y Nueva Savona;15930
Prado y Nueva Savona;124513 y3333
Prado y Nueva Savona;15000
Prado y Nueva Savona;11180
Cordon;22288
Cordon;20288
Tres Cruces;64000
Tres Cruces;52700
Castro y P. Castellanos;79133 y66667
Castro y P. Castellanos;41697
Castro y P. Castellanos;22000
Castro y P. Castellanos;0
Casabo y Pajas Blancas;14262
Casabo y Pajas Blancas;7200
Casabo y Pajas Blancas;5000
Casabo y Pajas Blancas;1600
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
Casabo y Pajas Blancas;0
